0 max = 547.0000000000117, mean = 119.83500000000028
1 max = 875.1000000000244, mean = 111.78000000000027
2 max = 479.00000000000693, mean = 146.16666666666694
3 max = 438.60000000000457, mean = 137.26499999999984
4 max = 623.4000000000104, mean = 160.29000000000036
5 max = 394.30000000000314, mean = 150.57666666666657
6 max = 543.0000000000076, mean = 119.24999999999999
7 max = 588.4000000000108, mean = 71.96500000000017
8 max = 327.19999999999914, mean = 85.32499999999982
9 max = 491.60000000000736, mean = 117.27000000000002
10 max = 452.50000000000364, mean = 106.07833333333338
11 max = 541.4000000000069, mean = 118.06833333333317
12 max = 499.8000000000071, mean = 94.82999999999991
13 max = 662.8000000000159, mean = 114.2550000000002
14 max = 476.40000000000646, mean = 110.12333333333324
15 max = 320.00000000000074, mean = 75.38166666666648
16 max = 489.3000000000079, mean = 36.68166666666675
17 max = 319.0999999999996, mean = 49.73833333333323
18 max = 296.2999999999998, mean = 49.10999999999986
19 max = 166.49999999999912, mean = 18.703333333333322
20 max = 350.8999999999998, mean = 69.66166666666646
21 max = 303.2999999999993, mean = 63.469999999999786
22 max = 149.79999999999916, mean = 22.44166666666664
23 max = 681.8000000000148, mean = 99.67500000000005
24 max = 417.2000000000013, mean = 80.35666666666641
25 max = 333.09999999999985, mean = 81.66999999999976
26 max = 496.50000000000745, mean = 122.15499999999987
27 max = 410.8000000000041, mean = 144.12166666666644
28 max = 280.1999999999996, mean = 44.3233333333332
29 max = 237.99999999999847, mean = 47.023333333333184
30 max = 201.69999999999862, mean = 21.123333333333296
31 max = 407.2000000000022, mean = 45.013333333333286
32 max = 378.70000000000357, mean = 91.66499999999986
33 max = 194.09999999999943, mean = 20.83499999999996
34 max = 239.79999999999848, mean = 38.02999999999993
35 max = 283.7999999999993, mean = 38.38499999999991
36 max = 243.59999999999803, mean = 31.08999999999995
37 max = 185.79999999999916, mean = 32.571666666666616
38 max = 213.59999999999891, mean = 30.483333333333295
39 max = 578.9000000000107, mean = 129.34000000000015
40 max = 498.6000000000038, mean = 108.23666666666648
41 max = 331.2000000000022, mean = 77.73666666666658
42 max = 652.9000000000133, mean = 96.55333333333334
43 max = 310.20000000000005, mean = 88.02833333333311
44 max = 465.1000000000082, mean = 98.02166666666686
45 max = 717.4000000000148, mean = 114.45000000000036
46 max = 305.5000000000002, mean = 72.00999999999983
47 max = 343.2000000000015, mean = 79.0883333333332
48 max = 259.09999999999906, mean = 67.61333333333317
49 max = 202.19999999999962, mean = 48.60499999999992
50 max = 162.39999999999907, mean = 32.72499999999997
51 max = 238.19999999999868, mean = 40.74166666666654
52 max = 209.0999999999986, mean = 50.056666666666565
53 max = 409.3000000000002, mean = 81.94999999999979
54 max = 298.39999999999975, mean = 55.66499999999988
55 max = 175.3999999999989, mean = 41.20999999999996
56 max = 288.59999999999906, mean = 72.36999999999982
57 max = 305.19999999999965, mean = 84.13999999999983
58 max = 566.4000000000087, mean = 104.10833333333319
59 max = 256.2999999999986, mean = 77.97999999999979
60 max = 196.39999999999876, mean = 49.81833333333328
61 max = 264.99999999999864, mean = 53.54666666666661
62 max = 302.90000000000015, mean = 69.73999999999985
63 max = 285.9000000000001, mean = 81.41666666666643
64 max = 328.40000000000214, mean = 77.87999999999987
65 max = 256.39999999999816, mean = 77.60666666666643
66 max = 455.1000000000032, mean = 76.02166666666655
67 max = 382.10000000000264, mean = 61.593333333333234
68 max = 335.20000000000215, mean = 66.28666666666649
69 max = 399.4000000000036, mean = 93.83999999999988
70 max = 346.70000000000164, mean = 94.85166666666647
71 max = 445.9000000000066, mean = 96.5649999999999
72 max = 460.7000000000044, mean = 113.8016666666667
73 max = 557.6000000000085, mean = 142.58833333333354
74 max = 453.40000000000487, mean = 93.21999999999981
75 max = 611.5000000000126, mean = 149.816666666667
76 max = 659.400000000012, mean = 120.6683333333335
77 max = 440.00000000000273, mean = 82.86499999999997
78 max = 509.700000000008, mean = 73.43166666666689
79 max = 167.29999999999944, mean = 27.77499999999996
80 max = 441.60000000000366, mean = 70.05666666666659
81 max = 656.2000000000106, mean = 149.87000000000015
82 max = 755.7000000000163, mean = 155.6000000000005
83 max = 681.900000000016, mean = 111.1850000000001
84 max = 502.7000000000072, mean = 69.34500000000004
85 max = 434.8000000000051, mean = 100.78166666666654
86 max = 395.6000000000025, mean = 139.53333333333305
87 max = 539.3000000000086, mean = 146.0249999999997
88 max = 417.30000000000086, mean = 128.3366666666663
89 max = 590.6000000000089, mean = 154.14499999999992
90 max = 681.700000000015, mean = 117.11000000000013
91 max = 708.900000000018, mean = 88.44333333333358
92 max = 355.7000000000007, mean = 113.75833333333311
93 max = 407.50000000000347, mean = 89.77833333333325
94 max = 254.4999999999989, mean = 71.62333333333316
95 max = 264.19999999999953, mean = 64.50999999999993
96 max = 252.299999999999, mean = 79.4016666666665
97 max = 353.50000000000284, mean = 78.97333333333323
98 max = 330.4000000000008, mean = 95.2399999999998
99 max = 290.5999999999998, mean = 85.16499999999981
100 max = 191.09999999999886, mean = 82.90833333333312
101 max = 327.5000000000015, mean = 104.0283333333331
102 max = 341.40000000000094, mean = 85.16499999999984
103 max = 313.3000000000005, mean = 81.84999999999984
104 max = 379.30000000000155, mean = 97.46499999999978
105 max = 250.59999999999837, mean = 70.66166666666653
106 max = 332.40000000000066, mean = 81.72999999999989
107 max = 293.40000000000066, mean = 66.94166666666659
108 max = 174.1999999999998, mean = 40.503333333333316
109 max = 152.69999999999968, mean = 28.40166666666668
110 max = 179.59999999999903, mean = 37.96166666666666
111 max = 146.99999999999957, mean = 52.90666666666665
112 max = 227.69999999999843, mean = 63.38499999999992
113 max = 268.1999999999982, mean = 70.87666666666651
114 max = 289.6999999999998, mean = 68.94166666666656
115 max = 156.09999999999934, mean = 33.76666666666667
116 max = 85.00000000000011, mean = 26.15666666666669
117 max = 128.5000000000001, mean = 32.67666666666669
118 max = 106.7999999999999, mean = 38.391666666666666
119 max = 106.09999999999967, mean = 39.928333333333356
120 max = 221.1999999999994, mean = 53.36333333333327
121 max = 131.29999999999993, mean = 42.238333333333344
122 max = 161.39999999999895, mean = 48.61999999999994
123 max = 209.49999999999935, mean = 57.42666666666657
124 max = 290.20000000000044, mean = 78.48833333333316
125 max = 261.5999999999989, mean = 81.84666666666648
126 max = 329.70000000000084, mean = 91.33999999999978
127 max = 277.3999999999993, mean = 92.73333333333306
128 max = 325.99999999999966, mean = 87.87333333333319
129 max = 355.3000000000012, mean = 73.51499999999989
130 max = 242.69999999999843, mean = 79.2599999999998
131 max = 223.39999999999932, mean = 56.49499999999989
132 max = 151.9999999999995, mean = 30.751666666666658
133 max = 121.69999999999963, mean = 40.38666666666663
134 max = 181.4999999999991, mean = 51.86833333333325
135 max = 227.5999999999991, mean = 94.59666666666641
136 max = 237.4999999999988, mean = 77.06833333333319
137 max = 225.19999999999882, mean = 55.60666666666665
138 max = 268.399999999999, mean = 69.61166666666661
139 max = 224.99999999999832, mean = 72.9949999999999
140 max = 266.7999999999989, mean = 104.67499999999971
141 max = 230.29999999999865, mean = 78.36833333333313
142 max = 301.1999999999997, mean = 91.99166666666638
143 max = 258.29999999999905, mean = 92.25833333333304
144 max = 276.79999999999995, mean = 78.9016666666665
145 max = 425.50000000000455, mean = 88.42833333333311
146 max = 617.1000000000101, mean = 108.31999999999988
147 max = 294.70000000000033, mean = 75.79499999999983
148 max = 281.59999999999945, mean = 92.48499999999972
149 max = 366.3000000000017, mean = 122.0966666666663
150 max = 212.99999999999895, mean = 53.52499999999993
151 max = 208.79999999999868, mean = 60.186666666666504
152 max = 213.7999999999987, mean = 69.0716666666665
153 max = 439.60000000000514, mean = 119.90166666666642
154 max = 490.2000000000038, mean = 118.07499999999976
155 max = 291.4999999999991, mean = 99.57333333333301
156 max = 544.000000000007, mean = 105.94166666666655
157 max = 692.8000000000128, mean = 114.75666666666676
158 max = 686.8000000000137, mean = 143.8283333333334
159 max = 952.1000000000246, mean = 168.30333333333382
160 max = 405.40000000000293, mean = 117.43666666666633
161 max = 547.9000000000066, mean = 132.68666666666647
162 max = 698.3000000000123, mean = 161.07166666666728
163 max = 422.00000000000404, mean = 111.66166666666649
164 max = 258.29999999999905, mean = 58.9266666666666
165 max = 346.90000000000094, mean = 80.47833333333321
166 max = 307.69999999999857, mean = 77.36333333333314
167 max = 460.2000000000049, mean = 84.71666666666653
168 max = 370.40000000000407, mean = 100.34666666666645
169 max = 464.7000000000017, mean = 97.51166666666651
170 max = 599.2000000000086, mean = 131.60999999999993
171 max = 403.50000000000364, mean = 111.15499999999989
172 max = 666.4000000000121, mean = 171.50333333333347
173 max = 380.3000000000033, mean = 78.95666666666655
174 max = 296.5999999999999, mean = 59.07333333333319
