0 max = 20.599999999999998, mean = 2.37
1 max = 10.0, mean = 1.5750000000000002
2 max = 10.0, mean = 2.2033333333333336
3 max = 17.900000000000034, mean = 2.9283333333333337
4 max = 19.0, mean = 4.348333333333334
5 max = 41.100000000000016, mean = 10.533333333333339
6 max = 27.20000000000003, mean = 5.493333333333334
7 max = 35.60000000000001, mean = 7.6783333333333355
8 max = 44.80000000000001, mean = 8.81
9 max = 104.29999999999977, mean = 18.690000000000005
10 max = 89.79999999999976, mean = 22.091666666666683
11 max = 85.29999999999997, mean = 18.335000000000015
12 max = 58.00000000000006, mean = 13.366666666666672
13 max = 75.19999999999989, mean = 18.04166666666668
14 max = 77.99999999999994, mean = 24.873333333333356
15 max = 149.99999999999946, mean = 37.59333333333333
16 max = 210.4999999999988, mean = 38.651666666666635
17 max = 187.7999999999993, mean = 50.51999999999995
18 max = 93.39999999999962, mean = 33.901666666666685
19 max = 107.79999999999976, mean = 28.703333333333354
20 max = 256.89999999999895, mean = 40.49666666666663
21 max = 151.69999999999908, mean = 42.02166666666663
22 max = 185.799999999999, mean = 45.4133333333333
23 max = 161.39999999999932, mean = 38.72666666666662
24 max = 161.8999999999995, mean = 43.726666666666645
25 max = 164.69999999999933, mean = 37.03833333333332
26 max = 152.3999999999995, mean = 32.87666666666668
27 max = 120.19999999999968, mean = 35.91333333333333
28 max = 145.69999999999905, mean = 31.933333333333334
29 max = 85.19999999999992, mean = 23.891666666666683
30 max = 96.69999999999958, mean = 29.66166666666667
31 max = 146.79999999999941, mean = 38.44166666666664
32 max = 145.89999999999947, mean = 34.25833333333333
33 max = 256.39999999999816, mean = 52.03833333333326
34 max = 350.1000000000013, mean = 70.00499999999994
35 max = 339.8000000000011, mean = 99.97499999999974
36 max = 211.4999999999984, mean = 58.5216666666666
37 max = 373.80000000000285, mean = 83.01999999999985
38 max = 237.79999999999825, mean = 67.23166666666654
39 max = 284.0999999999994, mean = 77.3916666666665
40 max = 385.5000000000052, mean = 87.64166666666657
41 max = 349.0000000000014, mean = 98.45333333333312
42 max = 326.90000000000134, mean = 87.08333333333319
43 max = 407.60000000000457, mean = 114.59166666666644
44 max = 397.1000000000034, mean = 65.89333333333333
45 max = 621.6000000000101, mean = 124.4416666666668
46 max = 539.8000000000108, mean = 186.13666666666748
47 max = 501.8000000000074, mean = 159.52000000000035
48 max = 782.2000000000207, mean = 171.44333333333424
49 max = 632.8000000000138, mean = 135.7783333333334
50 max = 464.70000000000675, mean = 132.40500000000003
51 max = 906.7000000000255, mean = 130.02000000000058
52 max = 742.9000000000206, mean = 188.3150000000013
53 max = 524.1000000000104, mean = 152.59000000000026
54 max = 779.2000000000193, mean = 195.21333333333413
55 max = 1047.3000000000304, mean = 209.35666666666745
56 max = 993.0000000000288, mean = 297.82500000000334
57 max = 857.6000000000255, mean = 173.95666666666688
58 max = 593.8000000000148, mean = 135.33500000000043
59 max = 963.5000000000297, mean = 220.70166666666847
60 max = 1298.799999999986, mean = 235.71666666666735
61 max = 1408.0999999999653, mean = 252.52166666666798
62 max = 647.2000000000155, mean = 168.21833333333376
63 max = 446.60000000000457, mean = 149.2566666666665
64 max = 425.50000000000637, mean = 165.95999999999998
65 max = 419.80000000000564, mean = 139.88333333333316
66 max = 476.0000000000076, mean = 136.6016666666665
67 max = 659.5000000000186, mean = 166.13500000000033
68 max = 968.2000000000282, mean = 176.15000000000083
69 max = 926.7000000000312, mean = 188.67333333333457
70 max = 614.6000000000128, mean = 167.52166666666707
71 max = 673.9000000000201, mean = 187.57000000000062
72 max = 1085.900000000024, mean = 147.69333333333395
73 max = 587.8000000000155, mean = 146.28666666666703
74 max = 658.9000000000146, mean = 155.81166666666715
75 max = 597.6000000000163, mean = 179.81166666666695
76 max = 832.2000000000249, mean = 201.95666666666725
77 max = 621.9000000000148, mean = 184.29833333333403
78 max = 436.9000000000069, mean = 142.36999999999975
79 max = 380.00000000000375, mean = 120.26166666666641
80 max = 488.10000000000747, mean = 143.2983333333331
81 max = 777.8000000000235, mean = 154.14666666666693
82 max = 551.5000000000103, mean = 129.03166666666667
83 max = 513.3000000000094, mean = 126.055
84 max = 583.400000000007, mean = 113.27333333333293
85 max = 416.40000000000526, mean = 102.77333333333303
86 max = 324.9000000000017, mean = 79.90333333333301
87 max = 221.29999999999848, mean = 47.69499999999985
88 max = 250.89999999999833, mean = 63.899999999999814
89 max = 397.1000000000037, mean = 118.0666666666665
90 max = 411.5000000000059, mean = 99.68166666666643
91 max = 600.8000000000136, mean = 123.02333333333321
92 max = 389.700000000003, mean = 102.39333333333317
93 max = 526.600000000011, mean = 125.49833333333363
94 max = 626.1000000000164, mean = 139.4966666666671
95 max = 788.2000000000215, mean = 133.1883333333339
96 max = 320.60000000000184, mean = 74.70833333333313
97 max = 1232.1999999999948, mean = 194.0900000000008
98 max = 695.6000000000166, mean = 176.70500000000047
99 max = 761.00000000002, mean = 163.01333333333406
100 max = 804.7000000000212, mean = 187.90333333333464
101 max = 1186.6999999999914, mean = 203.29000000000028
102 max = 997.4000000000302, mean = 235.81833333333483
103 max = 751.0000000000219, mean = 225.4933333333353
