0 max = 0.3999999999999999, mean = -1.5133333333333334
1 max = 2.9000000000000017, mean = -0.9183333333333331
2 max = 12.600000000000003, mean = -0.1533333333333332
3 max = 12.600000000000003, mean = 0.961666666666667
4 max = 22.199999999999996, mean = 2.29
5 max = 23.999999999999993, mean = 4.666666666666666
6 max = 29.70000000000006, mean = 5.470000000000002
7 max = 54.50000000000013, mean = 7.446666666666674
8 max = 30.000000000000064, mean = 6.183333333333338
9 max = 44.89999999999999, mean = 6.773333333333339
10 max = 28.40000000000004, mean = 7.530000000000002
11 max = 41.500000000000085, mean = 5.833333333333337
12 max = 29.900000000000063, mean = 5.855000000000002
13 max = 53.80000000000012, mean = 5.925000000000006
14 max = 28.700000000000045, mean = 6.941666666666669
15 max = 28.100000000000037, mean = 7.1616666666666715
16 max = 65.2000000000001, mean = 8.253333333333343
17 max = 53.40000000000011, mean = 10.818333333333346
18 max = 58.10000000000018, mean = 7.848333333333341
19 max = 38.20000000000004, mean = 6.2566666666666695
20 max = 76.10000000000011, mean = 11.06333333333334
21 max = 51.20000000000008, mean = 9.133333333333338
22 max = 48.70000000000004, mean = 11.726666666666677
23 max = 68.70000000000005, mean = 11.858333333333347
24 max = 78.79999999999994, mean = 13.141666666666678
25 max = 123.49999999999919, mean = 15.066666666666668
26 max = 98.3999999999996, mean = 11.288333333333338
27 max = 67.20000000000016, mean = 18.788333333333366
28 max = 116.89999999999974, mean = 17.87833333333334
29 max = 95.79999999999961, mean = 25.183333333333344
30 max = 107.69999999999959, mean = 22.85333333333332
31 max = 130.49999999999946, mean = 22.813333333333354
32 max = 151.29999999999905, mean = 27.200000000000003
33 max = 134.699999999999, mean = 29.161666666666648
34 max = 197.3999999999984, mean = 36.6966666666666
35 max = 207.2999999999985, mean = 40.59166666666659
36 max = 353.7000000000029, mean = 59.5166666666666
37 max = 217.09999999999846, mean = 51.71166666666655
38 max = 223.49999999999824, mean = 54.37666666666654
39 max = 249.59999999999755, mean = 54.76666666666649
40 max = 265.69999999999857, mean = 74.07166666666635
41 max = 271.29999999999814, mean = 84.97499999999961
42 max = 491.6000000000089, mean = 79.54500000000003
43 max = 456.70000000000755, mean = 101.40000000000009
44 max = 475.2000000000097, mean = 127.35166666666669
45 max = 487.80000000001115, mean = 113.20500000000011
46 max = 621.9000000000149, mean = 138.11333333333363
47 max = 583.700000000014, mean = 108.13166666666643
48 max = 497.80000000000996, mean = 121.45833333333323
49 max = 376.9000000000034, mean = 90.02499999999976
50 max = 694.9000000000184, mean = 135.3550000000002
51 max = 493.60000000000883, mean = 107.43666666666655
52 max = 610.4000000000149, mean = 157.7916666666671
53 max = 822.200000000027, mean = 136.92333333333403
54 max = 537.800000000012, mean = 141.5616666666671
55 max = 917.2000000000298, mean = 200.61666666666832
56 max = 749.9000000000223, mean = 149.80666666666747
57 max = 739.300000000022, mean = 164.2066666666681
58 max = 1401.6999999999578, mean = 160.78999999999942
59 max = 1398.2999999999665, mean = 182.71999999999989
60 max = 965.8000000000363, mean = 161.06333333333453
61 max = 906.0000000000341, mean = 152.62000000000018
62 max = 825.7000000000285, mean = 174.82833333333457
63 max = 1067.0000000000302, mean = 180.55166666666872
64 max = 941.700000000037, mean = 172.38333333333497
65 max = 717.2000000000248, mean = 125.90333333333405
66 max = 374.8000000000038, mean = 117.62333333333287
67 max = 1356.1999999999664, mean = 308.0400000000031
68 max = 763.1000000000256, mean = 221.7183333333358
69 max = 767.8000000000276, mean = 227.71833333333586
70 max = 1078.0000000000318, mean = 299.3650000000049
71 max = 1636.8999999999073, mean = 313.40833333333387
72 max = 1634.9999999999059, mean = 309.2466666666679
73 max = 1549.1999999999261, mean = 332.43666666666996
74 max = 2189.899999999784, mean = 384.7666666666695
75 max = 3203.5999999995593, mean = 482.41666666665793
76 max = 2712.0999999996684, mean = 536.6099999999967
77 max = 1320.5999999999774, mean = 474.1483333333401
78 max = 2165.899999999774, mean = 468.6349999999976
79 max = 1123.0000000000166, mean = 294.5766666666716
80 max = 1595.9999999999104, mean = 398.32166666666967
81 max = 2067.299999999808, mean = 621.1833333333248
82 max = 1364.5999999999638, mean = 431.76000000000727
83 max = 1943.3999999998398, mean = 492.1433333333342
84 max = 3156.2999999995736, mean = 479.63166666665734
85 max = 1373.9999999999654, mean = 444.92333333334005
86 max = 2006.0999999998126, mean = 348.7366666666698
87 max = 1836.5999999998685, mean = 432.15333333333587
88 max = 1520.7999999999329, mean = 466.6450000000074
89 max = 2242.999999999761, mean = 515.3299999999938
90 max = 2150.4999999997813, mean = 390.58666666666807
91 max = 1359.199999999962, mean = 400.68000000000603
92 max = 1433.6999999999493, mean = 407.9783333333393
93 max = 1788.6999999998643, mean = 494.92666666666895
94 max = 1401.3999999999528, mean = 244.99833333333575
95 max = 1064.4000000000367, mean = 258.7233333333364
96 max = 1278.2999999999884, mean = 224.20500000000163
97 max = 1615.9999999999009, mean = 313.4116666666686
98 max = 1060.3000000000334, mean = 227.82000000000338
99 max = 535.2000000000136, mean = 125.43166666666693
100 max = 562.200000000015, mean = 140.39166666666736
101 max = 658.1000000000209, mean = 157.81833333333452
102 max = 798.200000000029, mean = 118.50500000000069
